AR,Mach,LD_max,W/S
6,0.6,12.66,337.5
6,0.62,12.66,360.4
6,0.64,12.66,384.0
6,0.66,12.66,408.4
6,0.68,12.66,433.5
6,0.7,12.66,459.4
8,0.6,14.62,389.7
8,0.62,14.62,416.1
8,0.64,14.62,443.4
8,0.66,14.62,471.6
8,0.68,14.62,500.6
8,0.7,14.62,530.5
10,0.6,16.34,435.7
10,0.62,16.34,465.3
10,0.64,16.34,495.8
10,0.66,16.34,527.2
10,0.68,16.34,559.7
10,0.7,16.34,593.1
12,0.6,17.9,477.3
12,0.62,17.9,509.7
12,0.64,17.9,543.1
12,0.66,17.9,577.5
12,0.68,17.9,613.1
12,0.7,17.9,649.7
14,0.6,19.34,515.6
14,0.62,19.34,550.5
14,0.64,19.34,586.6
14,0.66,19.34,623.8
14,0.68,19.34,662.2
14,0.7,19.34,701.7
